Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
SE;SP;BARUERI;JARDIM ALBERTO;AUTO POSTO NOVA UNIÃO LTDA;RUA  FERNAO DIAS PAES LEME, NR: 129, COMPLEMENTO: NI - BAIRRO: JARDIM ALBERTO;ETANOL;4.799;4.5489999999999995;4.599;5.1739999999999995;4.99;4.59;4.19
SE;SP;BARUERI;JARDIM ALBERTO;AUTO POSTO NOVA UNIÃO LTDA;RUA  FERNAO DIAS PAES LEME, NR: 129, COMPLEMENTO: NI - BAIRRO: JARDIM ALBERTO;GASOLINA;6.099;6.299;6.5489999999999995;6.999;6.99;6.989999999999999;5.956666666666667
SE;SP;BARUERI;JARDIM ALBERTO;AUTO POSTO NOVA UNIÃO LTDA;RUA  FERNAO DIAS PAES LEME, NR: 129, COMPLEMENTO: NI - BAIRRO: JARDIM ALBERTO;GASOLINA ADITIVADA;6.399;6.599;6.849;7.299;7.29;7.29;6.256666666666667
SE;SP;BARUERI;JARDIM BELVAL;CENTRO AUTOMOTIVO JOAO COTIA LTDA;AVENIDA ENGENHEIRO OSCAR KESSELRING, NR: 344, COMPLEMENTO: NI - BAIRRO: JARDIM BELVAL;DIESEL S10;5.299;5.474;5.9239999999999995;6.549;6.84;6.89;7.34
SE;SP;BARUERI;JARDIM BELVAL;CENTRO AUTOMOTIVO JOAO COTIA LTDA;AVENIDA ENGENHEIRO OSCAR KESSELRING, NR: 344, COMPLEMENTO: NI - BAIRRO: JARDIM BELVAL;ETANOL;4.799;4.599;4.4590000000000005;5.249;5.09;4.69;3.99
SE;SP;BARUERI;JARDIM BELVAL;CENTRO AUTOMOTIVO JOAO COTIA LTDA;AVENIDA ENGENHEIRO OSCAR KESSELRING, NR: 344, COMPLEMENTO: NI - BAIRRO: JARDIM BELVAL;GASOLINA;6.099;6.199;6.432333333333333;6.999;6.99;7.0566666666666675;5.89
SE;SP;BARUERI;JARDIM BELVAL;CENTRO AUTOMOTIVO JOAO COTIA LTDA;AVENIDA ENGENHEIRO OSCAR KESSELRING, NR: 344, COMPLEMENTO: NI - BAIRRO: JARDIM BELVAL;GASOLINA ADITIVADA;6.399;6.49;6.849;7.299;7.29;7.3566666666666665;6.19
SE;SP;BARUERI;JARDIM DOS CAMARGOS;AUTO POSTO MURACA LTDA;RUA DA PRATA, NR: 1114, COMPLEMENTO: NI - BAIRRO: JARDIM DOS CAMARGOS;ETANOL;4.7490000000000006;4.399;4.799;5.499;5.19;4.54;4.29
SE;SP;BARUERI;JARDIM DOS CAMARGOS;AUTO POSTO MURACA LTDA;RUA DA PRATA, NR: 1114, COMPLEMENTO: NI - BAIRRO: JARDIM DOS CAMARGOS;GASOLINA;6.149;6.199;6.899;6.999;6.99;6.890000000000001;5.99
SE;SP;BARUERI;JARDIM DOS CAMARGOS;AUTO POSTO MURACA LTDA;RUA DA PRATA, NR: 1114, COMPLEMENTO: NI - BAIRRO: JARDIM DOS CAMARGOS;GASOLINA ADITIVADA;6.449;6.499;7.199;7.299;7.29;7.1899999999999995;6.29
