Empresa;CodClasseImobilizado;CodImobilizadoImobilizado;CodSBN;DescricaoImobilizado;CodigoDenominacaoImobilizado;CodClienteRecebMercadoria;LocalInstalacao;TextoImobilizado;DtIncorporacao;Qtd;UnidadeMedida0;UnidadeMedida1;QtdRetroativa;UnidadeMedida2;NumeroInventario;NumeroSerieChassi;CentroCusto;NomCetro;CodigoCentro;CodigoEspecie;DescricaoEspecie;OrdemInvestimento;ElementoPEP;DtDesativacao;ImobilizadoOrigem;SubNumeroIEA;ValorArquisicaoAtual;CodigoMoeda;ValorDepreciacaoAtual;CodigoMoeda1;ValorContabilAtual;CodigoMoeda2
1001;2300;230000001425;0;VASILHAMES P20 PIT STOP;001-132211-153951-0;0000000000;;VASILHAMES P20 PIT STOP;03.04.2011;10,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;4.735,09;BRL;3.493,10-;BRL;1.241,99;BRL
1001;2300;230000001429;0;VASILHAMES P20;001-132211-154019-0;0000000000;;VASILHAMES P20;10.12.2009;166,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;64.921,94;BRL;54.694,40-;BRL;10.227,54;BRL
1001;2300;230000001515;0;VASILHAMES P20;001-132211-156320-0;0000000000;;VASILHAMES P20;15.04.2010;18,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;5.756,83;BRL;4.640,12-;BRL;1.116,71;BRL
1001;2300;230000001516;0;VASILHAMES P20;001-132211-156484-0;0000000000;;VASILHAMES P20;24.03.2010;400,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;155.059,79;BRL;122.128,55-;BRL;32.931,24;BRL
1001;2300;230000001517;0;VASILHAMES P20;001-132211-156608-0;0000000000;;VASILHAMES P20;19.04.2010;40,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;15.068,04;BRL;12.204,57-;BRL;2.863,47;BRL
1001;2300;230000001521;0;VASILHAMES P20;001-132211-156853-0;0000000000;;VASILHAMES P20;16.03.2010;138,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;230000001524;0;54.614,29;BRL;44.095,17-;BRL;10.519,12;BRL
1001;2300;230000001522;0;VASILHAMES P20;001-132211-157119-0;0000000000;;VASILHAMES P20;03.04.2011;15,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;1,00;BRL;0,99-;BRL;0,01;BRL
1001;2300;230000001535;0;VASILHAMES P20 PIT STOP;001-132211-157195-0;0000000000;;VASILHAMES P20 PIT STOP;05.04.2010;15,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;7.114,54;BRL;5.736,50-;BRL;1.378,04;BRL
1001;2300;230000001537;0;VASILHAMES P20;001-132211-157201-0;0000000000;;VASILHAMES P20;22.04.2010;147,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;56.976,62;BRL;46.165,40-;BRL;10.811,22;BRL
1001;2300;230000001548;0;VASILHAMES P20;001-132211-157244-0;0000000000;;VASILHAMES P20;17.05.2010;80,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;32.753,02;BRL;26.342,34-;BRL;6.410,68;BRL
